M158H,
X,Y
0.0014 , 94.0795
0.0064 , 104.6196
0.0127 , 111.6209
0.0204 , 116.1750
0.0307 , 121.4461
0.0445 , 127.7243
0.0583 , 132.7515
0.0728 , 138.1242
0.0866 , 142.4135
0.1004 , 146.9392
0.1155 , 151.3149
0.1311 , 155.5984
0.1458 , 158.8833
0.1609 , 163.0674
0.1761 , 167.0625
0.1912 , 170.1408
0.2062 , 172.9695
0.2214 , 175.8554
0.2365 , 178.6233
0.2516 , 181.6200
0.2668 , 184.6382
0.2819 , 186.8340
0.2970 , 189.4159
0.3121 , 191.7761
0.3272 , 194.0290
0.3423 , 196.8084
0.3579 , 197.6573
0.3720 , 199.2387
0.3875 , 201.1032
0.4026 , 202.6545
0.4178 , 204.1243
0.4328 , 205.5511
0.4478 , 206.8814
0.4629 , 208.1688
0.4780 , 209.3704
0.4931 , 210.6792
0.5082 , 211.7950
0.5232 , 212.5460
0.5383 , 213.3828
0.5539 , 214.2968
0.5677 , 214.9105
0.5835 , 215.9361
0.5986 , 216.6656
0.6136 , 217.3093
0.6287 , 217.8028
0.6438 , 218.5323
0.6588 , 219.1760
0.6740 , 219.7253
0.6890 , 220.4205
0.7040 , 220.9998
0.7191 , 221.5362
0.7341 , 222.0083
0.7492 , 222.5876
0.7643 , 223.2098
0.7795 , 223.8058
0.7944 , 224.3685
0.8095 , 224.7118
0.8245 , 225.2482
0.8396 , 225.7202
0.8546 , 226.2995
0.8697 , 226.9432
0.8848 , 227.7479
0.9006 , 228.2640
0.9149 , 228.9387
0.9304 , 229.6277
0.9450 , 230.4192
0.9601 , 231.9283
0.9758 , 234.1108
0.9876 , 237.6561
0.9966 , 241.9551
1.0036 , 248.7847
0.0019 , 85.9375
