BO58-120min,
X,Y
0.2130 , 462.1463
0.1890 , 453.2706
0.1656 , 442.9028
0.1431 , 431.8011
0.1221 , 420.7360
0.1149 , 417.5450
0.1083 , 412.8619
0.1016 , 408.9289
0.0952 , 405.0040
0.0890 , 401.0832
0.0829 , 394.9040
0.0765 , 392.4874
0.0707 , 387.0664
0.0651 , 382.4077
0.0599 , 377.0029
0.0542 , 372.3401
0.0495 , 368.4558
0.0446 , 363.0591
0.0401 , 357.6706
0.0359 , 352.2902
0.0313 , 346.9016
0.0273 , 341.5253
0.0238 , 335.4069
0.0202 , 330.0427
0.0170 , 323.9325
0.0145 , 317.0844
0.0123 , 311.7526
0.0100 , 304.1544
0.0078 , 295.8061
0.0060 , 287.4659
0.0044 , 276.1173
0.0031 , 264.0186
0.0019 , 250.4156
