KMR-BO83-240min,
X,Y
0.2174 , 928.3155
0.1939 , 893.0569
0.1702 , 857.7943
0.1467 , 818.7651
0.1243 , 782.0267
0.1168 , 769.0237
0.1092 , 756.7748
0.1018 , 743.7759
0.0944 , 729.2687
0.0872 , 716.2738
0.0800 , 701.7707
0.0731 , 687.2756
0.0662 , 673.5347
0.0591 , 658.2815
0.0526 , 645.3029
0.0462 , 628.5576
0.0396 , 615.5789
0.0339 , 599.6040
0.0282 , 582.8749
0.0230 , 565.4039
0.0181 , 547.1869
0.0136 , 529.7320
0.0101 , 510.0392
0.0076 , 487.3541
0.0052 , 464.6730
0.0036 , 442.0082
0.0024 , 417.0931
0.0016 , 391.4320
0.0011 , 364.2707
0.0007 , 338.6218
0.0006 , 311.4686
0.0002 , 282.8031
