KUT-BO65-360min,
X,Y
0.2001 , 601.2849
0.1958 , 600.4308
0.1737 , 589.5567
0.1547 , 578.0422
0.1365 , 565.8209
0.1243 , 557.4282
0.0956 , 531.7477
0.0777 , 513.6913
0.0686 , 501.7360
0.0607 , 492.7362
0.0584 , 489.0168
0.0561 , 486.0280
0.0538 , 481.5780
0.0517 , 479.3245
0.0495 , 476.3357
0.0473 , 472.6210
0.0452 , 469.6370
0.0431 , 465.9223
0.0412 , 462.2124
0.0391 , 459.2283
0.0369 , 455.5137
0.0348 , 451.0684
0.0327 , 445.8926
0.0306 , 441.4474
0.0285 , 437.7327
0.0264 , 433.2875
0.0243 , 428.8423
0.0222 , 424.3970
0.0202 , 419.2260
0.0183 , 414.0549
0.0165 , 408.1580
0.0145 , 402.2563
0.0129 , 395.6336
0.0111 , 389.7367
0.0095 , 383.1140
0.0079 , 375.7607
0.0061 , 369.1332
0.0045 , 361.0493
0.0034 , 352.2491
0.0021 , 343.4441
0.0011 , 333.9181
