KPS-1,
X,Y
0.9942 , 0.2693
0.9887 , 0.2678
0.9796 , 0.2662
0.9699 , 0.2647
0.9587 , 0.2639
0.9517 , 0.2639
0.9364 , 0.2639
0.9225 , 0.2646
0.9085 , 0.2639
0.8939 , 0.2638
0.8813 , 0.2638
0.8667 , 0.2638
0.8381 , 0.2638
0.8235 , 0.2638
0.8089 , 0.2645
0.7949 , 0.2638
0.7664 , 0.2637
0.7364 , 0.2637
0.7078 , 0.2637
0.6465 , 0.2637
0.6012 , 0.2628
0.5566 , 0.2636
0.4967 , 0.2635
0.4813 , 0.2643
0.4667 , 0.2643
0.4528 , 0.2643
0.4374 , 0.2643
0.4235 , 0.2642
0.4089 , 0.2642
0.3942 , 0.2642
0.3803 , 0.2634
0.3657 , 0.2634
0.3510 , 0.2642
0.3371 , 0.2642
0.3211 , 0.2642
0.3064 , 0.2642
0.2932 , 0.2641
0.2779 , 0.2641
0.2639 , 0.2641
0.2486 , 0.2641
0.2395 , 0.2641
0.2291 , 0.2633
0.2200 , 0.2626
0.2110 , 0.2625
0.2005 , 0.2633
0.1894 , 0.2625
0.1803 , 0.2633
0.1712 , 0.2633
0.1601 , 0.2633
0.1496 , 0.2625
0.1399 , 0.2617
0.1301 , 0.2617
0.1211 , 0.2617
0.1106 , 0.2617
0.1002 , 0.2602
0.0911 , 0.2609
0.0807 , 0.2601
0.0716 , 0.2601
0.0584 , 0.2601
0.0479 , 0.2586
0.0388 , 0.2570
0.0312 , 0.2563
0.0235 , 0.2539
0.0145 , 0.2509
0.0068 , 0.2439
0.0005 , 0.2347
-0.0008 , 0.2124
-0.0015 , 0.1962
-0.0008 , 0.1839
-0.0015 , 0.1701
