CS600,
X,Y
0.0185 , 52.6990
0.0304 , 63.9438
0.0410 , 75.9368
0.0580 , 86.4365
0.0778 , 99.6847
0.1007 , 113.4347
0.1236 , 120.1934
0.1523 , 129.7031
0.1797 , 138.4627
0.1922 , 146.4621
0.2222 , 152.7267
0.2541 , 155.7469
0.2854 , 161.5131
0.3250 , 162.7912
0.3562 , 166.8096
0.3958 , 166.8393
0.4342 , 168.8655
0.4719 , 170.1422
0.5128 , 173.1691
0.5551 , 175.6977
0.5973 , 177.2274
0.6421 , 176.7616
0.6772 , 175.5394
0.7233 , 177.0721
0.7662 , 182.0980
0.8131 , 188.8747
0.8554 , 194.6492
0.8926 , 202.9168
0.9298 , 213.9309
0.9644 , 226.1916
0.9802 , 238.6878
