F1-8-61,
X,Y
0.9608 , 13.2318
0.9063 , 13.1797
0.8703 , 13.1485
0.8273 , 13.1275
0.7933 , 13.1168
0.7490 , 13.0752
0.7060 , 13.0645
0.6688 , 13.0435
0.6232 , 13.0225
0.5854 , 13.0015
0.5417 , 12.9702
0.5039 , 12.9389
0.4647 , 12.8974
0.4275 , 12.8764
0.3896 , 12.8452
0.3614 , 12.8140
0.3209 , 12.7827
0.2798 , 12.7103
0.2420 , 12.6481
0.2015 , 12.5448
0.1906 , 12.5036
0.1823 , 12.4623
0.1733 , 12.4314
0.1560 , 12.3592
0.1451 , 12.2973
0.1335 , 12.2355
0.1220 , 12.1324
0.1123 , 12.0603
0.1001 , 11.9676
0.0886 , 11.8337
0.0777 , 11.6998
0.0668 , 11.5248
0.0539 , 11.2777
0.0379 , 10.8866
0.0212 , 10.2999
0.0160 , 10.0220
0.0116 , 9.7442
