F1N-12,
X,Y
0.9924 , 5.0384
0.9503 , 4.9879
0.9051 , 4.9502
0.8720 , 4.9379
0.8261 , 4.9384
0.7873 , 4.9134
0.7465 , 4.9139
0.7064 , 4.9017
0.6650 , 4.8895
0.6357 , 4.8899
0.5911 , 4.8649
0.5561 , 4.8654
0.5140 , 4.8531
0.4752 , 4.8154
0.4350 , 4.8286
0.3962 , 4.7909
0.3561 , 4.7914
0.3191 , 4.7408
0.2815 , 4.7413
0.2452 , 4.7163
0.2045 , 4.6913
0.1994 , 4.7041
0.1936 , 4.6914
0.1841 , 4.6660
0.1790 , 4.6406
0.1720 , 4.6407
0.1656 , 4.6280
0.1580 , 4.6153
0.1516 , 4.6154
0.1452 , 4.6027
0.1369 , 4.5773
0.1299 , 4.5774
0.1236 , 4.5520
0.1166 , 4.5393
0.1108 , 4.5394
0.1038 , 4.5267
0.0955 , 4.5141
0.0898 , 4.4887
0.0828 , 4.4887
0.0758 , 4.4633
0.0682 , 4.4252
0.0611 , 4.3997
0.0548 , 4.3615
0.0478 , 4.3361
0.0389 , 4.2852
0.0325 , 4.2343
0.0236 , 4.1451
0.0108 , 4.0050
0.0019 , 3.6607
0.0006 , 3.4056
0.0006 , 3.1250
0.0000 , 2.6786
0.0006 , 2.4235
