ACF45M,
X,Y
0.9950 , 486.1660
0.9891 , 485.7708
0.9801 , 485.3755
0.9707 , 484.9802
0.9602 , 484.9802
0.9498 , 484.9802
0.9408 , 484.9802
0.9314 , 484.9802
0.9214 , 484.9802
0.9100 , 484.1897
0.9000 , 484.5850
0.8812 , 484.5850
0.8603 , 483.3992
0.8414 , 483.3992
0.8200 , 484.1897
0.8105 , 484.1897
0.7897 , 482.6087
0.7608 , 482.6087
0.7300 , 482.6087
0.6997 , 481.4229
0.6499 , 479.0514
0.6007 , 477.4704
0.5495 , 474.3083
0.5007 , 468.7747
0.4804 , 466.4032
0.4605 , 464.0316
0.4411 , 462.0553
0.4306 , 461.6601
0.4202 , 460.4743
0.4102 , 458.1028
0.4008 , 456.9170
0.3909 , 454.9407
0.3814 , 453.7549
0.3720 , 451.7787
0.3615 , 450.5929
0.3521 , 448.6166
0.3426 , 445.0593
0.3317 , 441.1067
0.3237 , 439.5257
0.3153 , 437.1542
0.3048 , 434.7826
0.2949 , 430.8300
0.2824 , 425.2964
0.2685 , 421.7391
0.2596 , 417.3913
0.2501 , 413.4387
0.2347 , 405.9289
0.2263 , 402.3715
0.2173 , 397.6285
0.2049 , 390.1186
0.1974 , 385.3755
0.1860 , 379.4466
0.1740 , 369.5652
0.1671 , 364.4269
0.1546 , 355.3360
0.1477 , 348.6166
0.1417 , 343.4783
0.1328 , 336.7589
0.1238 , 329.2490
0.1154 , 323.7154
0.1099 , 316.6008
0.1014 , 307.9051
0.0945 , 300.7905
0.0885 , 292.8854
0.0811 , 286.1660
0.0751 , 279.0514
0.0696 , 272.3320
0.0641 , 264.4269
0.0572 , 256.1265
0.0512 , 249.0119
0.0433 , 238.7352
0.0378 , 230.8300
0.0313 , 222.9249
0.0259 , 215.8103
0.0194 , 207.9051
0.0134 , 199.6047
0.0094 , 191.3043
0.0090 , 182.2134
