ACF45M-HNO3,
X,Y
0.9930 , 323.9604
0.9891 , 316.4356
0.9861 , 306.1386
0.9831 , 297.4257
0.9806 , 289.5050
0.9762 , 283.9604
0.9643 , 278.0198
0.9508 , 275.6436
0.9409 , 275.6436
0.9290 , 275.6436
0.9191 , 275.2475
0.9091 , 275.2475
0.8997 , 274.8515
0.8798 , 275.2475
0.8595 , 276.0396
0.8396 , 276.0396
0.8203 , 275.6436
0.8098 , 275.6436
0.7900 , 275.6436
0.7597 , 274.4554
0.7294 , 274.0594
0.6996 , 273.6634
0.6495 , 273.2673
0.5983 , 271.6832
0.5457 , 270.8911
0.4950 , 270.0990
0.4816 , 269.7030
0.4613 , 268.5149
0.4409 , 267.7228
0.4310 , 266.9307
0.4211 , 266.9307
0.4106 , 266.1386
0.4007 , 265.3465
0.3908 , 264.9505
0.3813 , 263.7624
0.3704 , 262.9703
0.3615 , 262.5743
0.3515 , 261.7822
0.3421 , 260.5941
0.3322 , 259.8020
0.3222 , 258.2178
0.3123 , 256.6337
0.3019 , 255.8416
0.2925 , 253.8614
0.2840 , 252.6733
0.2736 , 251.0891
0.2637 , 249.1089
0.2527 , 245.5446
0.2423 , 243.1683
0.2324 , 240.0000
0.2219 , 237.2277
0.2130 , 234.8515
0.2026 , 233.2673
0.1931 , 228.5149
0.1822 , 225.3465
0.1733 , 222.5743
0.1619 , 219.8020
0.1524 , 215.0495
0.1420 , 209.5050
0.1321 , 206.3366
0.1216 , 202.3762
0.1122 , 198.8119
0.1013 , 194.0594
0.0919 , 188.1188
0.0809 , 182.5743
0.0710 , 177.4257
0.0601 , 169.5050
0.0511 , 163.1683
0.0452 , 157.2277
0.0367 , 151.6832
0.0308 , 146.1386
0.0243 , 140.5941
0.0169 , 129.9010
0.0119 , 121.9802
0.0074 , 114.8515
0.0060 , 107.7228
