S2AC-900,
X,Y
0.0088 , 88.9360
0.0279 , 102.8767
0.0558 , 114.4996
0.0802 , 121.2447
0.1046 , 127.5253
0.1220 , 131.4808
0.1429 , 134.2769
0.1639 , 136.6086
0.1857 , 138.9407
0.2084 , 140.8088
0.2546 , 144.0811
0.3053 , 147.1232
0.3349 , 148.7624
0.3559 , 149.2365
0.4065 , 151.3498
0.4537 , 153.2293
0.5061 , 155.1112
0.5567 , 156.9923
0.6047 , 159.1044
0.6554 , 161.2177
0.7051 , 163.3306
0.7540 , 166.1396
0.8055 , 169.6465
0.8247 , 171.5130
0.8552 , 174.5458
0.8797 , 177.5757
0.9032 , 181.5340
0.9276 , 186.6537
0.9503 , 192.9336
0.9764 , 204.0912
0.9851 , 210.1324
0.9902 , 217.3329
0.9954 , 225.9267
