S1AC_800,
X,Y
0.0125 , 136.4965
0.0286 , 145.8101
0.0495 , 150.2980
0.0704 , 153.5866
0.0923 , 156.0180
0.1141 , 158.4493
0.1360 , 160.4931
0.1579 , 161.9312
0.1798 , 163.4419
0.2016 , 164.3470
0.2235 , 165.7609
0.2454 , 166.8113
0.2673 , 167.4499
0.2891 , 168.8880
0.3110 , 169.2359
0.3329 , 170.2137
0.3548 , 170.7311
0.3767 , 172.0723
0.3986 , 172.6140
0.4204 , 173.4625
0.4423 , 173.6198
0.4642 , 174.1502
0.4861 , 174.8777
0.5080 , 175.1771
0.5298 , 176.5182
0.5517 , 176.1151
0.5736 , 177.1413
0.5955 , 177.8041
0.6174 , 178.2974
0.6393 , 179.3963
0.6603 , 180.3883
0.6830 , 180.9642
0.7049 , 182.7657
0.7308 , 182.9213
0.7526 , 183.8506
0.7745 , 184.5861
0.7964 , 186.0727
0.8183 , 187.7588
0.8402 , 187.9555
0.8620 , 188.8745
0.8839 , 190.9593
0.9058 , 192.4371
0.9277 , 194.0470
0.9495 , 196.6480
0.9714 , 200.1565
0.9889 , 204.3123
1.0021 , 210.7743
-0.0015 , 0.3969
