S2AC-3h,
X,Y
0.0301 , 186.0951
0.0704 , 204.7832
0.0867 , 210.8056
0.1057 , 215.5679
0.1272 , 221.2810
0.1436 , 223.8288
0.1652 , 226.6990
0.1877 , 229.8862
0.2058 , 231.4886
0.2568 , 235.0278
0.2879 , 237.5942
0.3096 , 238.8850
0.3355 , 239.8655
0.3580 , 241.1574
0.4030 , 243.7413
0.4540 , 247.2805
0.5042 , 248.9233
0.5535 , 251.1968
0.6028 , 254.1021
0.6546 , 257.3265
0.7040 , 259.6000
0.7532 , 263.7687
0.8016 , 267.9364
0.8267 , 271.1268
0.8535 , 274.0037
0.8759 , 277.5067
0.9061 , 282.9149
0.9294 , 288.3144
0.9552 , 296.2441
0.9775 , 306.3806
0.9809 , 309.8596
0.9938 , 315.5618
0.9979 , 323.1483
