S1AC-3h,
X,Y
0.0307 , 162.8567
0.0589 , 175.2128
0.0829 , 181.6718
0.1054 , 186.7899
0.1264 , 190.0316
0.1468 , 193.0045
0.1664 , 194.9053
0.1875 , 197.8792
0.2057 , 199.5103
0.2529 , 202.2514
0.3060 , 206.3393
0.3380 , 207.9889
0.3591 , 208.8205
0.4006 , 211.2861
0.4537 , 213.2318
0.5031 , 215.1725
0.5540 , 217.6508
0.6064 , 220.3988
0.6544 , 222.6054
0.7061 , 225.3524
0.7519 , 228.6272
0.8028 , 233.5156
0.8224 , 234.8808
0.8507 , 237.3289
0.8762 , 240.5764
0.9016 , 244.0917
0.9270 , 248.4103
0.9539 , 255.1410
0.9763 , 262.6692
0.9828 , 266.9625
0.9922 , 272.8664
0.9950 , 279.8327
