S2AC_6h,
X,Y
0.0274 , 193.6548
0.0475 , 198.2356
0.0543 , 205.4337
0.0733 , 210.3844
0.0965 , 215.5906
0.1170 , 219.9997
0.1382 , 223.8375
0.1594 , 225.9765
0.1806 , 228.0834
0.2019 , 229.7736
0.2231 , 231.2362
0.2463 , 234.1818
0.2675 , 234.7501
0.2888 , 235.7671
0.3100 , 237.2329
0.3312 , 238.7949
0.3525 , 239.6516
0.3737 , 241.1815
0.3950 , 242.1024
0.4151 , 243.7059
0.4375 , 245.0020
0.4587 , 246.3716
0.4805 , 246.8672
0.5012 , 248.9185
0.5224 , 249.6711
0.5456 , 250.5380
0.5654 , 252.4510
0.5887 , 253.7303
0.6084 , 255.0722
0.6323 , 255.4863
0.6538 , 257.4845
0.6745 , 258.5651
0.6962 , 259.7109
0.7160 , 261.4168
0.7401 , 263.8381
0.7590 , 265.6747
0.7829 , 268.2303
0.8043 , 271.8182
0.8260 , 274.1874
0.8474 , 278.7451
0.8680 , 284.0460
0.8883 , 288.0663
0.9112 , 291.8892
0.9314 , 297.2815
0.9528 , 302.5501
0.9724 , 312.1361
0.9790 , 324.1908
0.9870 , 334.2705
