AC35%-1173ox,
X,Y
0.9925 , 420.3652
0.9285 , 413.7965
0.8629 , 408.6054
0.7955 , 402.3801
0.7333 , 398.5684
0.6710 , 394.7568
0.6129 , 390.6020
0.5590 , 387.4823
0.4900 , 382.6347
0.4505 , 379.8645
0.3865 , 375.0186
0.3234 , 369.8284
0.2603 , 363.6045
0.1971 , 356.6915
0.1391 , 348.0574
0.1113 , 344.2576
0.0962 , 340.1177
0.0835 , 336.6677
0.0684 , 332.1831
0.0524 , 325.9755
0.0423 , 320.8035
0.0297 , 312.8742
0.0230 , 306.6698
0.0196 , 303.2230
0.0138 , 295.6406
0.0121 , 290.1270
0.0079 , 283.9234
0.0054 , 278.0649
0.0045 , 274.2744
0.0037 , 270.4840
0.0029 , 267.0380
0.0020 , 262.9030
0.0020 , 257.7345
0.0004 , 253.5992
0.0004 , 248.4307
-0.0005 , 243.2620
-0.0004 , 237.4044
-0.0004 , 232.5805
-0.0013 , 225.6890
-0.0013 , 220.1760
