TPCSs-1-700,
X,Y
0.8200 , 429.5455
0.8400 , 429.5455
0.8600 , 429.5449
0.8800 , 430.2754
0.9000 , 430.8441
0.9200 , 430.9561
0.9400 , 430.9561
0.9600 , 430.9269
0.9800 , 433.1478
0.7723 , 429.9624
0.7277 , 428.9968
0.6992 , 428.0311
0.6809 , 428.0311
0.6535 , 428.0311
0.6363 , 428.0311
0.5906 , 427.0655
0.5449 , 427.0655
0.5004 , 426.0998
0.4547 , 422.2371
0.4113 , 416.4431
0.3633 , 409.6835
0.3187 , 403.8895
0.2742 , 399.0612
0.2571 , 396.1642
0.2388 , 393.2672
0.2205 , 390.3702
0.2022 , 387.4732
0.1839 , 383.6105
0.1657 , 379.7479
0.1474 , 374.9195
0.1371 , 371.0569
0.1211 , 361.4002
0.1131 , 355.6062
0.1063 , 344.9839
