TPCSs-2-800,
X,Y
0.0896 , 320.6922
0.0884 , 280.9105
0.0915 , 243.4232
0.0918 , 209.9461
0.0902 , 176.4854
0.0919 , 132.2395
0.0903 , 89.3295
0.0919 , 55.0715
0.0910 , 19.0893
0.0911 , 375.0031
0.0975 , 413.3418
0.1060 , 443.6587
0.1200 , 478.4677
0.1429 , 515.0604
0.1763 , 538.2249
0.2114 , 552.9697
0.2464 , 562.5756
0.2815 , 569.7632
0.3165 , 575.1707
0.3515 , 579.6714
0.3866 , 583.0637
0.4216 , 586.0530
0.4567 , 588.3705
0.4917 , 590.6544
0.5268 , 592.3337
0.5618 , 593.2406
0.5969 , 594.3826
0.6319 , 595.3230
0.6670 , 595.5581
0.7020 , 596.4985
0.7370 , 596.8680
0.7721 , 597.7077
0.8071 , 598.1107
0.8422 , 598.4802
0.8772 , 599.2527
0.9123 , 600.0588
0.9473 , 600.6633
0.9824 , 603.4847
1.0032 , 605.7014
