Default Dataset,
X,Y
0.0014 , 0.8653
0.0380 , 1.7517
0.0622 , 1.8439
0.0854 , 1.8832
0.1110 , 1.9535
0.1366 , 1.9802
0.1572 , 2.0173
0.1813 , 2.0481
0.2064 , 2.0726
0.2304 , 2.0801
0.2546 , 2.1102
0.2789 , 2.1370
0.3038 , 2.1684
0.3280 , 2.1853
0.3510 , 2.2049
0.3771 , 2.2242
0.4023 , 2.2751
0.4235 , 2.2825
0.4519 , 2.3083
0.4731 , 2.3359
0.4976 , 2.3686
0.5234 , 2.4009
0.5447 , 2.4113
0.5730 , 2.4547
0.5952 , 2.5128
0.6183 , 2.5416
0.6455 , 2.5970
0.6664 , 2.6363
0.6935 , 2.7108
0.7164 , 2.7777
0.7392 , 2.8161
0.7669 , 2.9314
0.7882 , 3.0020
0.8133 , 3.0968
0.8376 , 3.2216
0.8597 , 3.2877
0.8878 , 3.4135
0.9103 , 3.4828
0.9328 , 3.5900
0.9519 , 3.7045
0.9749 , 3.8266
0.9891 , 3.9772
0.9963 , 4.1734
