PAac,
X,Y
0.9600 , 5.0163
0.9800 , 5.1379
0.8595 , 4.7550
0.8198 , 4.6686
0.7801 , 4.5994
0.7416 , 4.5216
0.6982 , 4.4265
0.6586 , 4.3746
0.6201 , 4.3141
0.5804 , 4.2277
0.5408 , 4.1758
0.4998 , 4.1066
0.4589 , 4.0461
0.4192 , 3.9856
0.3796 , 3.8991
0.3448 , 3.8732
0.3262 , 3.8386
0.3052 , 3.7781
0.2828 , 3.7522
0.2593 , 3.7176
0.2357 , 3.6657
0.2109 , 3.6225
0.1824 , 3.5706
0.1539 , 3.4928
0.1402 , 3.4669
0.1142 , 3.4063
0.0918 , 3.3545
0.0831 , 3.2853
0.0496 , 3.1470
0.0210 , 2.9481
0.0008 , 2.0403
0.0017 , 1.0548
0.8905 , 4.8069
0.9041 , 4.8501
0.9165 , 4.8761
0.9289 , 4.9107
0.9401 , 4.9366
0.9488 , 4.9625
0.9699 , 5.0749
0.9935 , 5.2565
0.9985 , 5.3429
0.9873 , 5.1873
