PCac,
X,Y
0.0093 , 0.9483
0.0483 , 1.1282
0.0601 , 1.1855
0.0831 , 1.2125
0.1079 , 1.2346
0.1331 , 1.2484
0.1537 , 1.2610
0.1786 , 1.2650
0.2021 , 1.2795
0.2271 , 1.2908
0.2515 , 1.2932
0.2758 , 1.3055
0.3016 , 1.3052
0.3257 , 1.3089
0.3484 , 1.3217
0.3758 , 1.3177
0.3990 , 1.3327
0.4212 , 1.3211
0.4497 , 1.3322
0.4711 , 1.3398
0.4968 , 1.3312
0.5216 , 1.3437
0.5430 , 1.3378
0.5715 , 1.3464
0.5938 , 1.3571
0.6170 , 1.3462
0.6440 , 1.3618
0.6648 , 1.3618
0.6926 , 1.3608
0.7155 , 1.3779
0.7379 , 1.3727
0.7663 , 1.3858
0.7871 , 1.3937
0.8141 , 1.3988
0.8373 , 1.4195
0.8596 , 1.4185
0.8870 , 1.4415
0.9103 , 1.4548
0.9347 , 1.4878
0.9591 , 1.5436
0.9829 , 1.6076
0.9941 , 1.7093
0.9967 , 1.7963
