ZAac,
X,Y
-0.0003 , 3.5614
0.0033 , 5.2154
0.0031 , 4.4380
0.8923 , 7.9349
0.9142 , 7.9645
0.9378 , 8.0681
0.9613 , 8.1457
0.9849 , 8.2048
1.0026 , 8.2658
0.8598 , 7.8955
0.8205 , 7.8960
0.7781 , 7.8561
0.7420 , 7.8026
0.7007 , 7.7897
0.6593 , 7.7497
0.6190 , 7.7368
0.5394 , 7.6299
0.5819 , 7.6833
0.4991 , 7.6170
0.4588 , 7.5635
0.4185 , 7.5776
0.3804 , 7.5376
0.1141 , 7.0150
0.0472 , 6.6111
0.0152 , 6.1123
-0.0004 , 2.6582
0.0004 , 1.7811
-0.0009 , 0.8636
0.0748 , 6.8266
0.0950 , 6.9343
0.1438 , 7.1225
0.1586 , 7.1493
0.1894 , 7.2298
0.2149 , 7.2835
0.2414 , 7.3371
0.2605 , 7.3368
0.2817 , 7.3770
0.3050 , 7.3767
0.3273 , 7.4304
0.3453 , 7.4571
