ZBac,
X,Y
0.1105 , 1.3833
0.9388 , 2.9702
0.1363 , 1.4079
0.4152 , 1.6431
0.4547 , 1.6864
0.4974 , 1.7235
0.5359 , 1.7729
0.5765 , 1.8284
0.6150 , 1.8778
0.7347 , 2.0813
0.8512 , 2.4999
0.8835 , 2.6598
0.9282 , 2.8997
0.9594 , 3.1334
0.9927 , 3.4715
0.0021 , 0.9585
0.0468 , 1.2845
0.0749 , 1.3276
0.0884 , 1.3523
0.1498 , 1.4264
0.1759 , 1.4573
0.2019 , 1.4636
0.2248 , 1.4883
0.2487 , 1.5130
0.2758 , 1.5378
0.3007 , 1.5625
0.3205 , 1.5749
0.3413 , 1.5874
0.3788 , 1.6244
0.6556 , 1.9395
0.6930 , 2.0012
0.7742 , 2.2229
0.8127 , 2.3522
0.8980 , 2.7398
0.9074 , 2.7951
0.9178 , 2.8505
0.9490 , 3.0473
0.9698 , 3.2195
0.9886 , 3.3855
0.9781 , 3.3117
0.9979 , 3.6375
0.9969 , 3.5576
