ZCac,
X,Y
0.9180 , 0.3953
0.9423 , 0.4210
0.0079 , 0.2057
0.0167 , 0.2240
0.9945 , 0.6418
0.9944 , 0.6160
0.9933 , 0.5966
0.9878 , 0.5535
0.9889 , 0.5729
0.9845 , 0.5320
0.9779 , 0.5061
0.9724 , 0.4889
0.9680 , 0.4684
0.9593 , 0.4512
0.9517 , 0.4361
0.9298 , 0.4102
0.9015 , 0.3876
0.8873 , 0.3800
0.8557 , 0.3628
0.8186 , 0.3487
0.7783 , 0.3358
0.7380 , 0.3271
0.6977 , 0.3217
0.6574 , 0.3162
0.6170 , 0.3119
0.5778 , 0.3065
0.5364 , 0.3043
0.4972 , 0.3032
0.4591 , 0.3020
0.4188 , 0.2998
0.3795 , 0.2976
0.3392 , 0.2944
0.3196 , 0.2943
0.2978 , 0.2932
0.2739 , 0.2932
0.2499 , 0.2900
0.2009 , 0.2856
0.2248 , 0.2878
0.1769 , 0.2845
0.1519 , 0.2802
0.1355 , 0.2791
0.1137 , 0.2769
0.0952 , 0.2747
0.0614 , 0.2639
0.0778 , 0.2693
0.0407 , 0.2564
0.0276 , 0.2391
