ZAac,
X,Y
-0.0022 , 0.9025
-0.0003 , 3.5614
-0.0005 , 2.6319
-0.0018 , 1.7698
0.0033 , 5.2154
0.0031 , 4.4380
0.0201 , 6.1122
0.0451 , 6.5349
0.0688 , 6.7576
0.0920 , 6.8841
0.1130 , 7.0368
0.1395 , 7.1301
0.1597 , 7.1459
0.1864 , 7.2176
0.2101 , 7.2689
0.2326 , 7.3176
0.2558 , 7.3030
0.2801 , 7.3825
0.3034 , 7.3848
0.3258 , 7.4422
0.3493 , 7.4741
0.3729 , 7.5084
0.3955 , 7.5624
0.4197 , 7.5392
0.4435 , 7.6250
0.4670 , 7.5888
0.4924 , 7.5921
0.5132 , 7.6380
0.5388 , 7.5930
0.5612 , 7.6860
0.5838 , 7.6440
0.6082 , 7.7131
0.6318 , 7.7388
0.6553 , 7.7248
0.6789 , 7.7777
0.7024 , 7.7717
0.7268 , 7.7882
0.7475 , 7.7675
0.7730 , 7.8210
0.7965 , 7.8689
0.8206 , 7.8634
0.8436 , 7.9141
0.8651 , 7.8765
0.8923 , 7.9349
0.9142 , 7.9645
0.9378 , 8.0681
0.9613 , 8.1457
0.9849 , 8.2048
1.0026 , 8.2658
