Z0.53,
X,Y
0.8200 , 440.9948
0.2045 , 392.1891
0.1823 , 385.2670
0.1631 , 376.0495
0.2500 , 404.8851
0.2934 , 411.8316
0.3430 , 418.7850
0.3995 , 423.4477
0.4490 , 426.9529
0.4995 , 430.4592
0.6490 , 435.2288
0.9894 , 443.6660
0.9672 , 442.4911
0.9440 , 443.6138
0.8591 , 440.0680
0.7702 , 438.8164
0.7399 , 437.6321
0.6995 , 437.5857
0.0651 , 321.9139
0.0853 , 335.7302
0.1095 , 351.8500
0.1358 , 364.5239
0.5500 , 432.8161
0.6005 , 434.0236
0.8006 , 440.0006
0.8399 , 441.1953
0.8753 , 441.2360
0.8905 , 441.2534
0.9046 , 442.4191
0.9147 , 442.4307
0.9248 , 443.5917
0.9329 , 443.6010
