CZ0.40,
X,Y
0.9893 , 310.9267
0.9805 , 309.8202
0.9689 , 309.8202
0.9582 , 308.7137
0.9455 , 308.7137
0.9358 , 308.7137
0.9270 , 307.6072
0.9163 , 308.7137
0.9037 , 307.6072
0.8901 , 308.7137
0.8755 , 307.6072
0.8609 , 307.6072
0.8405 , 307.6072
0.8200 , 307.6072
0.8006 , 307.6072
0.7704 , 307.6072
0.7412 , 307.6072
0.7004 , 307.6072
0.6508 , 307.6072
0.6002 , 307.6072
0.5506 , 306.5007
0.5000 , 305.3942
0.4494 , 305.3942
0.3988 , 305.3942
0.3580 , 304.2877
0.3054 , 302.0747
0.2510 , 298.7552
0.2043 , 293.2227
0.1819 , 291.0097
0.1615 , 286.5837
0.1411 , 282.1577
0.1060 , 272.1992
0.0253 , 230.1521
0.0049 , 215.7676
