ACS(1-1.5)600,
X,Y
0.9394 , 299.3965
0.9516 , 302.6952
0.0101 , 163.8340
0.0131 , 174.1006
0.0175 , 183.9200
0.0384 , 205.7856
0.0712 , 220.9494
0.0876 , 226.2991
0.1085 , 232.0933
0.1279 , 236.5488
0.1473 , 240.5579
0.1698 , 243.6728
0.1892 , 247.6819
0.2101 , 249.9046
0.2549 , 255.2415
0.3088 , 261.0208
0.3566 , 264.1242
0.4059 , 267.6734
0.4553 , 270.7762
0.5046 , 272.5396
0.5510 , 275.6437
0.6033 , 278.2987
0.6511 , 280.0629
0.7020 , 282.7185
0.7408 , 284.4867
0.7692 , 286.2596
0.8006 , 287.1383
0.8186 , 288.4695
0.8395 , 289.3529
0.8604 , 290.6827
0.8754 , 292.4617
0.8933 , 293.7929
0.9068 , 295.5726
0.9217 , 296.9051
0.9635 , 305.8148
0.9740 , 309.8280
0.9815 , 314.2889
0.9934 , 316.9621
