AC-600,
X,Y
-0.0020 , 54.5822
0.0000 , 72.3720
0.0088 , 85.3100
0.0206 , 93.9353
0.0333 , 96.0916
0.0460 , 98.7871
0.0686 , 100.9434
0.0891 , 102.0216
0.0979 , 102.0216
0.1273 , 103.6388
0.1508 , 104.7170
0.1763 , 105.2561
0.2008 , 105.2561
0.2243 , 106.3342
0.2498 , 105.7951
0.2742 , 106.3342
0.2997 , 106.8733
0.3242 , 107.4124
0.3506 , 107.4124
0.3732 , 107.9515
0.3986 , 108.4906
0.4486 , 107.9515
0.4985 , 108.4906
0.5475 , 109.0296
0.5975 , 109.0296
0.6474 , 108.4906
0.6983 , 109.5687
0.7473 , 109.0296
0.7973 , 109.5687
0.8472 , 110.1078
0.8746 , 110.6469
0.8991 , 110.6469
0.9187 , 111.1860
0.9373 , 111.7251
0.9569 , 111.7251
0.9794 , 112.8032
0.9873 , 113.8814
