AC-600,
X,Y
0.0015 , 85.2080
0.0128 , 93.8367
0.0254 , 95.9938
0.0380 , 98.6903
0.0604 , 100.8475
0.1424 , 104.6225
0.2157 , 106.2404
0.2911 , 106.7797
0.3155 , 107.3190
0.3644 , 107.8582
0.3898 , 108.3975
0.4398 , 107.8582
0.4897 , 108.3975
0.5386 , 108.9368
0.5885 , 108.9368
0.6385 , 108.3975
0.7383 , 108.9368
0.7882 , 109.4761
0.8381 , 110.0154
0.8655 , 110.5547
0.8900 , 110.5547
0.9095 , 111.0940
0.9691 , 113.7904
0.9798 , 114.8690
0.9505 , 112.7119
0.9300 , 111.6333
0.6884 , 108.9368
0.3409 , 107.3190
0.2666 , 106.7797
0.1922 , 105.7011
0.2411 , 106.7797
0.1678 , 105.1618
0.1179 , 104.0832
0.0916 , 103.0046
0.0818 , 102.4653
-0.0066 , 56.0863
-0.0056 , 73.8829
-0.0030 , 10.7858
-0.0030 , 10.7858
