AC-800,
X,Y
-0.0131 , 162.8588
-0.0091 , 83.2933
-0.0061 , 41.3686
0.0962 , 262.0976
0.1191 , 268.5628
0.2106 , 284.8381
0.3025 , 295.4151
0.3979 , 303.3479
0.5968 , 316.3258
0.6372 , 318.9490
0.6769 , 320.9586
0.7165 , 322.5981
0.7570 , 324.1159
0.7958 , 325.6125
0.8355 , 326.4587
0.8658 , 327.3498
0.8775 , 328.4284
0.8892 , 327.8891
0.8990 , 328.4284
0.9088 , 328.4284
0.9166 , 328.9676
0.9264 , 328.9676
0.9390 , 330.0462
0.9517 , 330.5855
0.9624 , 332.7427
0.9730 , 334.8998
0.5572 , 314.4068
0.5182 , 311.7103
0.4762 , 310.0924
0.4372 , 307.3960
0.3582 , 301.4638
0.3222 , 297.6888
0.2813 , 293.3744
0.2590 , 290.6780
0.1618 , 277.1957
0.0536 , 252.3883
-0.0089 , 199.5378
-0.0093 , 103.0046
