750-3h,
X,Y
0.0044 , 151.3761
0.0040 , 141.3780
0.0159 , 164.2439
0.0268 , 173.0740
0.0461 , 179.7422
0.0653 , 183.7628
0.0846 , 186.6683
0.1039 , 189.3220
0.1232 , 190.6807
0.1425 , 192.3991
0.1617 , 193.3981
0.1810 , 194.5409
0.2003 , 195.3241
0.2196 , 196.2511
0.2389 , 197.0342
0.2581 , 197.6015
0.2774 , 197.8451
0.2967 , 198.5922
0.3160 , 198.9797
0.3353 , 199.0074
0.3545 , 199.6107
0.3735 , 199.7165
0.3931 , 200.2057
0.4124 , 200.4133
0.4317 , 200.6928
0.4509 , 200.8284
0.4702 , 200.7842
0.4895 , 201.0997
0.5088 , 201.3433
0.5281 , 201.9106
0.5487 , 202.2406
0.5682 , 202.7194
0.5852 , 202.4837
0.6052 , 202.7049
0.6245 , 203.0204
0.6438 , 203.3359
0.6630 , 203.3636
0.6823 , 203.8230
0.7016 , 204.0306
0.7209 , 204.2742
0.7402 , 204.7335
0.7594 , 205.1210
0.7787 , 205.5084
0.7980 , 206.0751
0.8173 , 206.5891
0.8366 , 207.5554
0.8558 , 208.2744
0.8751 , 208.9296
0.8944 , 210.2192
0.9137 , 211.3501
0.9330 , 211.9893
0.9522 , 213.4559
0.9715 , 214.7067
0.9908 , 215.5618
