800-45m,
X,Y
0.0034 , 130.7992
0.0088 , 145.5592
0.0165 , 155.6445
0.0323 , 163.4932
0.0516 , 168.6951
0.0709 , 171.9207
0.0902 , 174.0324
0.1095 , 175.8567
0.1288 , 177.0702
0.1481 , 178.2836
0.1675 , 179.1378
0.1868 , 180.1356
0.2061 , 180.4868
0.2254 , 181.3768
0.2447 , 182.3747
0.2640 , 182.2946
0.2833 , 183.1488
0.3026 , 183.4640
0.3219 , 183.3839
0.3412 , 183.8428
0.3605 , 184.0861
0.3798 , 184.4732
0.3991 , 184.9321
0.4184 , 185.2113
0.4377 , 185.3109
0.4570 , 185.6979
0.4763 , 185.5460
0.4956 , 186.1753
0.5149 , 186.2622
0.5342 , 186.2041
0.5534 , 187.2204
0.5732 , 187.2211
0.5922 , 187.0418
0.6115 , 187.1055
0.6308 , 187.5285
0.6501 , 187.6999
0.6694 , 187.9073
0.6887 , 188.0787
0.7080 , 188.4299
0.7273 , 188.6732
0.7466 , 188.6650
0.7659 , 189.0879
0.7852 , 189.5109
0.8045 , 189.9339
0.8238 , 190.1413
0.8431 , 190.4564
0.8624 , 191.0231
0.8817 , 192.4917
0.9010 , 193.6487
0.9203 , 194.4120
0.9396 , 194.8709
0.9590 , 195.9406
0.9783 , 197.5493
0.9940 , 198.3742
