750-4h,
X,Y
0.0044 , 162.6459
0.0829 , 200.3025
0.1407 , 208.2635
0.3335 , 218.5050
0.4299 , 221.0538
0.4492 , 221.7290
0.4685 , 222.1164
0.4878 , 221.9283
0.9934 , 240.9444
0.9839 , 240.0925
0.9725 , 239.2414
0.9583 , 237.5357
0.9422 , 236.6867
0.9280 , 235.8368
0.9137 , 234.5590
0.8976 , 233.7100
0.8777 , 232.4346
0.8578 , 231.1593
0.8389 , 230.7394
0.8180 , 229.8924
0.7991 , 228.6167
0.7801 , 228.1968
0.7583 , 227.7782
0.7280 , 226.5073
0.6995 , 226.0915
0.6739 , 225.6745
0.6493 , 225.2571
0.6237 , 224.4121
0.5981 , 224.4231
0.5744 , 223.5773
0.5488 , 223.1603
0.5289 , 223.1688
0.5090 , 222.3214
0.4095 , 220.2242
0.3896 , 220.2327
0.3678 , 218.9582
0.3488 , 218.5383
0.3185 , 218.1233
0.2986 , 217.7039
0.2787 , 217.2844
0.2597 , 216.0087
0.2389 , 215.5896
0.2227 , 214.3127
0.2095 , 213.8904
0.1791 , 211.7636
0.1905 , 212.6146
0.1981 , 213.0393
0.1697 , 210.9117
0.1611 , 210.0594
0.1507 , 209.6359
0.1299 , 207.5051
0.1204 , 205.7973
0.1109 , 204.5174
0.1005 , 202.8101
0.0910 , 201.9582
0.0682 , 197.6883
0.0588 , 194.6967
0.0483 , 192.5613
0.0408 , 189.9968
0.0294 , 184.4382
0.0190 , 178.0233
0.0085 , 169.0406
