800-1h,
X,Y
0.0074 , 156.2893
0.0030 , 137.8713
0.0244 , 171.8955
0.0441 , 180.0581
0.0622 , 184.8237
0.0815 , 188.4446
0.1008 , 191.3827
0.1201 , 193.1711
0.1394 , 194.8157
0.1587 , 196.7478
0.1780 , 197.4582
0.1973 , 198.7435
0.2166 , 199.7414
0.2359 , 200.4518
0.2552 , 201.0904
0.2745 , 201.6571
0.2938 , 202.2957
0.3131 , 202.6827
0.3324 , 203.1057
0.3517 , 203.0256
0.3710 , 203.7001
0.3905 , 203.5951
0.4096 , 204.2945
0.4289 , 204.2504
0.4483 , 204.5865
0.4680 , 205.1051
0.4875 , 205.4389
0.5077 , 205.3265
0.5255 , 206.5860
0.5464 , 206.0364
0.5641 , 206.9289
0.5834 , 206.0029
0.6027 , 206.1528
0.6220 , 206.3602
0.6413 , 207.1185
0.6606 , 208.1044
0.6799 , 207.7369
0.6992 , 207.2615
0.7185 , 208.1756
0.7378 , 208.5335
0.7571 , 208.5305
0.7764 , 208.7378
0.7957 , 208.8374
0.8150 , 208.7933
0.8343 , 208.6773
0.8537 , 209.1362
0.8730 , 209.5233
0.8923 , 209.9103
0.9116 , 210.2614
0.9309 , 210.8640
0.9502 , 211.3948
0.9695 , 211.7818
0.9888 , 212.6000
0.9993 , 213.2783
