800-1h15m,
X,Y
0.9953 , 242.6366
0.9858 , 241.3658
0.9745 , 240.0958
0.9604 , 239.2520
0.9443 , 237.9840
0.9292 , 236.7156
0.9151 , 235.8718
0.8991 , 234.6038
0.8792 , 233.3374
0.8604 , 232.4956
0.8406 , 231.2292
0.8189 , 230.8135
0.8000 , 229.9717
0.7783 , 229.1310
0.7594 , 228.7141
0.7283 , 227.8775
0.6991 , 227.0401
0.6745 , 226.2006
0.6491 , 225.7865
0.6236 , 225.3724
0.6000 , 224.5326
0.5745 , 224.1185
0.5500 , 223.7040
0.5283 , 223.2883
0.5094 , 222.8713
0.4906 , 222.0295
0.4689 , 222.0387
0.4500 , 221.1969
0.4302 , 220.7804
0.4094 , 220.3643
0.3896 , 219.5228
0.3689 , 219.1067
0.3491 , 218.6902
0.3349 , 218.2713
0.3198 , 218.2777
0.2991 , 217.4367
0.2792 , 216.5952
0.2585 , 214.9043
0.2396 , 214.4874
0.2226 , 214.0697
0.2104 , 213.2251
0.1991 , 212.3800
0.1896 , 211.9591
0.1792 , 211.1136
0.1689 , 210.6931
0.1604 , 210.2718
0.1500 , 209.0014
0.1396 , 207.7310
0.1311 , 206.4599
0.1208 , 205.6144
0.1104 , 204.3440
0.0991 , 203.0741
0.0896 , 201.8033
0.0783 , 199.6834
0.0689 , 197.1379
0.0575 , 195.0180
0.0491 , 192.4721
0.0406 , 189.9261
0.0302 , 186.1062
0.0198 , 178.8868
0.0075 , 169.1186
