850-45m,
X,Y
0.9925 , 330.6511
0.9774 , 328.5012
0.9595 , 326.3514
0.9444 , 324.6314
0.9303 , 322.4816
0.9142 , 320.7617
0.9001 , 319.4717
0.8794 , 317.7518
0.8605 , 316.0319
0.8398 , 314.3120
0.8190 , 313.0221
0.8002 , 312.1622
0.7804 , 310.8722
0.7606 , 310.0123
0.7304 , 309.1523
0.7012 , 307.4324
0.6758 , 306.1425
0.6484 , 304.8526
0.6249 , 303.5627
0.6004 , 302.7027
0.5749 , 300.9828
0.5514 , 300.1229
0.5287 , 298.4029
0.5108 , 297.1130
0.4901 , 296.2531
0.4694 , 294.5332
0.4496 , 293.6732
0.4307 , 291.9533
0.4081 , 290.6634
0.3902 , 288.9435
0.3704 , 287.6536
0.3525 , 285.9337
0.3365 , 284.6437
0.3223 , 283.3538
0.3007 , 281.6339
0.2809 , 279.9140
0.2592 , 277.7641
0.2403 , 275.1843
0.2271 , 273.4644
0.2121 , 271.7445
0.2008 , 270.0246
0.1819 , 267.0147
0.1715 , 264.4349
0.1602 , 263.1450
0.1508 , 260.9951
0.1414 , 258.8452
0.1310 , 256.6953
0.1188 , 253.2555
0.1103 , 251.1057
0.0990 , 248.0958
0.0895 , 245.0860
0.0792 , 241.2162
0.0679 , 236.4865
0.0594 , 232.6167
0.0481 , 227.0270
0.0396 , 221.8673
0.0292 , 215.4177
0.0141 , 199.5086
