CMS500,
X,Y
0.5094 , 676.9765
0.0117 , 380.0905
0.2500 , 600.9050
0.3300 , 635.2941
0.3900 , 653.3937
0.9597 , 743.3314
0.9296 , 734.9037
0.8714 , 723.3156
0.8403 , 719.1017
0.7792 , 711.7274
0.7521 , 708.5670
0.6890 , 701.1927
0.6589 , 698.0323
0.6007 , 690.6581
0.5697 , 686.4442
0.4775 , 671.6957
0.4184 , 659.0540
0.2990 , 623.2362
0.2796 , 614.8084
0.2176 , 585.3113
0.2088 , 580.0440
0.1894 , 567.4024
0.1584 , 547.3865
0.1283 , 526.3172
0.0885 , 487.3389
0.0779 , 478.9111
0.0682 , 467.3230
0.0585 , 454.6814
0.0478 , 443.0932
0.0381 , 428.3447
0.0284 , 412.5427
0.0187 , 394.6337
