CMS550,
X,Y
0.0017 , 76.0181
0.0067 , 85.0679
0.0133 , 95.9276
0.0200 , 97.7376
0.0300 , 99.5475
0.0417 , 103.1674
0.0483 , 104.9774
0.0583 , 106.7873
0.0683 , 108.5973
0.0767 , 110.4072
0.0917 , 110.4072
0.1283 , 112.2172
0.1600 , 114.0271
0.1883 , 114.0271
0.2083 , 114.0271
0.2183 , 115.8371
0.2500 , 115.8371
0.2800 , 119.4570
0.2983 , 117.6471
0.3300 , 117.6471
0.3883 , 119.4570
0.4200 , 121.2670
0.4800 , 119.4570
0.5100 , 121.2670
0.5683 , 123.0769
0.6000 , 123.0769
0.6617 , 124.8869
0.6883 , 126.6968
0.7500 , 124.8869
0.7783 , 126.6968
0.8400 , 128.5068
0.8683 , 130.3167
0.9283 , 133.9367
0.9600 , 137.5566
0.9883 , 144.7964
