burn-off=15%,
X,Y
0.9940 , 162.6098
0.9677 , 162.6098
0.9439 , 162.6098
0.9188 , 161.6060
0.8749 , 162.6098
0.8499 , 161.6060
0.8373 , 161.6060
0.8185 , 161.6060
0.7672 , 162.6098
0.7196 , 162.6098
0.6682 , 162.6098
0.6193 , 162.6098
0.5491 , 162.6098
0.5003 , 161.6060
0.4501 , 161.6060
0.4000 , 162.6098
0.3511 , 162.6098
0.3010 , 162.6098
0.2496 , 161.6060
0.2008 , 161.6060
0.1820 , 160.6023
0.1632 , 160.6023
0.1431 , 159.5985
0.1256 , 159.5985
0.1030 , 158.5947
0.0842 , 158.5947
0.0616 , 156.5872
0.0316 , 151.5684
0.0102 , 142.5345
