500AC,
X,Y
0.0400 , 123.9813
0.0600 , 125.3011
0.0800 , 127.3928
0.1000 , 128.4840
0.1200 , 129.5248
0.1400 , 130.2763
0.1600 , 130.6688
0.1800 , 131.3001
0.2000 , 131.8027
0.2200 , 132.1043
0.2400 , 132.4707
0.2600 , 132.7749
0.2800 , 133.0626
0.3000 , 133.3670
0.3200 , 133.5860
0.3400 , 133.7574
0.3600 , 134.0381
0.3800 , 134.2283
0.4000 , 134.3550
0.4200 , 134.5247
0.4400 , 134.5669
0.4600 , 135.0501
0.4800 , 135.5711
0.5000 , 135.5167
0.5200 , 135.2617
0.5400 , 135.1650
0.5600 , 135.4196
0.5800 , 135.4884
0.6000 , 135.4883
0.6200 , 135.6154
0.6400 , 135.6907
0.6600 , 135.8632
0.6800 , 135.9095
0.7000 , 135.9879
0.7200 , 136.2100
0.7400 , 136.2980
0.7600 , 136.3316
0.7800 , 136.3458
0.8000 , 136.4283
0.8200 , 136.5346
0.8400 , 136.6230
0.8600 , 136.7726
0.8800 , 137.0384
0.9000 , 137.4798
0.9200 , 137.8395
0.9400 , 138.3568
0.9600 , 139.9814
0.9800 , 144.5621
0.0247 , 120.9261
0.0181 , 118.4246
0.0115 , 115.4685
0.0062 , 112.0582
0.0062 , 107.9673
0.0035 , 104.1031
0.0035 , 100.6940
0.0021 , 96.6028
0.0008 , 92.0570
0.0020 , 88.1936
0.0007 , 83.8752
0.0020 , 79.5573
0.0006 , 71.3751
0.0006 , 67.5115
0.0005 , 63.1933
0.0018 , 59.7845
0.0018 , 55.6936
0.0004 , 51.1478
0.0004 , 47.0569
0.0004 , 42.7387
-0.0010 , 38.1930
0.0015 , 21.8299
0.0014 , 13.6481
0.0014 , 5.6935
-0.0012 , 9.1020
