500AC,
X,Y
0.0247 , 120.9261
0.0181 , 118.4246
0.0115 , 115.4685
0.0062 , 112.0582
0.0062 , 107.9673
0.0035 , 104.1031
0.0035 , 100.6940
0.0021 , 96.6028
0.0008 , 92.0570
0.0020 , 88.1936
0.0007 , 83.8752
0.0020 , 79.5573
0.0006 , 71.3751
0.0006 , 67.5115
0.0005 , 63.1933
0.0018 , 59.7845
0.0018 , 55.6936
0.0004 , 51.1478
0.0004 , 47.0569
0.0004 , 42.7387
-0.0010 , 38.1930
0.0015 , 21.8299
0.0014 , 13.6481
0.0014 , 5.6935
-0.0012 , 9.1020
0.0405 , 123.6569
0.0550 , 125.7057
0.0760 , 127.3014
0.1011 , 128.6707
0.1313 , 129.5867
0.1524 , 130.0460
0.1721 , 130.5050
0.1971 , 131.1925
0.2195 , 131.6522
0.2445 , 132.3397
0.2721 , 132.3459
0.2932 , 132.5780
0.3393 , 133.2703
0.3958 , 134.1922
0.4406 , 134.2024
0.4906 , 134.8956
0.5472 , 135.3630
0.5919 , 135.6004
0.6393 , 135.6112
0.6959 , 135.8513
0.7393 , 136.3157
0.7959 , 136.3286
0.8393 , 136.5657
0.8932 , 137.2598
0.9367 , 137.9515
0.9683 , 140.0041
0.9828 , 142.9620
0.9907 , 148.4183
