NC700-2-1.5,
X,Y
0.9904 , 113.8728
0.9812 , 108.4162
0.9706 , 105.6865
0.9403 , 103.1796
0.8851 , 102.4852
0.8390 , 102.0202
0.7956 , 102.0104
0.7377 , 101.5427
0.6903 , 101.3046
0.6469 , 101.0675
0.5890 , 100.8270
0.5377 , 100.5881
0.4890 , 100.3498
0.4390 , 99.8839
0.3903 , 99.1910
0.3429 , 99.1802
0.2982 , 98.4882
0.2705 , 98.4819
0.2469 , 98.0220
0.2219 , 97.5618
0.1982 , 97.3291
0.1718 , 96.8686
0.1508 , 96.4093
0.1271 , 95.9493
0.1060 , 95.2627
0.0797 , 94.5749
0.0481 , 93.2041
0.0284 , 90.9269
0.0152 , 88.8785
0.0086 , 85.0133
0.0033 , 76.6030
