Z700,
X,Y
0.0800 , 311.9752
0.1000 , 321.6730
0.1200 , 325.5737
0.1400 , 331.1622
0.1600 , 337.1930
0.1800 , 341.9986
0.2000 , 346.2345
0.2200 , 350.6145
0.2400 , 354.9347
0.2600 , 358.9374
0.2800 , 362.6078
0.3000 , 366.0616
0.3200 , 369.3826
0.3400 , 372.6048
0.3600 , 375.8252
0.3800 , 379.0625
0.4000 , 382.1223
0.4200 , 385.1437
0.4400 , 388.3563
0.4600 , 391.7395
0.4800 , 395.3492
0.5000 , 399.0837
0.5200 , 402.6789
0.5400 , 406.0849
0.5600 , 409.2382
0.5800 , 412.2520
0.6000 , 415.2246
0.6200 , 418.1445
0.6400 , 420.9116
0.6600 , 423.5630
0.6800 , 426.5601
0.7000 , 430.1136
0.7200 , 433.8058
0.7400 , 437.0732
0.7600 , 439.8151
0.7800 , 442.2055
0.8000 , 444.5152
0.8200 , 447.4004
0.8400 , 450.5598
0.8600 , 453.5030
0.8800 , 456.2973
0.9000 , 459.1602
0.9200 , 462.5641
0.9400 , 466.3383
0.9600 , 470.1278
0.9800 , 473.7787
0.0646 , 304.4135
0.0503 , 297.3714
0.0098 , 258.2948
0.0066 , 248.6815
0.0044 , 238.4265
-0.0011 , 127.5325
0.0000 , 109.5831
0.0011 , 73.6850
0.0000 , 31.3780
0.0022 , 206.3766
0.0022 , 194.1971
0.0011 , 175.6081
0.0011 , 157.0183
0.0000 , 88.4293
