Z800,
X,Y
0.9934 , 387.1514
0.9497 , 380.7692
0.9004 , 373.7495
0.8490 , 369.2953
0.7998 , 362.9166
0.7495 , 358.4617
0.7013 , 352.7233
0.6488 , 347.6288
0.5996 , 342.5321
0.5503 , 336.1534
0.5022 , 330.4151
0.4486 , 324.6802
0.3993 , 318.3015
0.3490 , 311.9235
0.3009 , 305.5441
0.2495 , 299.1668
0.1991 , 291.5068
0.1499 , 283.8460
0.0996 , 273.6219
0.0492 , 260.8336
0.0098 , 233.9358
0.0055 , 227.5283
0.0022 , 216.6330
0.0011 , 198.6850
0.0000 , 190.3524
-0.0011 , 171.1223
-0.0011 , 153.8146
-0.0011 , 142.2761
-0.0011 , 130.0966
0.0000 , 103.8139
-0.0011 , 82.6607
-0.0011 , 65.3531
-0.0011 , 48.0454
-0.0011 , 25.6095
0.0000 , 9.5831
