ZL3,
X,Y
0.1000 , 205.9858
0.1200 , 206.5538
0.1400 , 208.0146
0.1600 , 210.4251
0.1800 , 213.1895
0.2000 , 215.8810
0.2200 , 218.2303
0.2400 , 220.3101
0.2600 , 222.2402
0.2800 , 224.1762
0.3000 , 226.2846
0.3200 , 228.5393
0.3400 , 230.8256
0.3600 , 232.8334
0.3800 , 234.4008
0.4000 , 236.0098
0.4200 , 238.0133
0.4400 , 240.2066
0.4600 , 242.3525
0.4800 , 244.3001
0.5000 , 246.0217
0.5200 , 247.7219
0.5400 , 249.5545
0.5600 , 251.4387
0.5800 , 253.2823
0.6000 , 255.0734
0.6200 , 256.8007
0.6400 , 258.4247
0.6600 , 259.9592
0.6800 , 261.5438
0.7000 , 263.2859
0.7200 , 265.1374
0.7400 , 266.9742
0.7600 , 268.5959
0.7800 , 270.0018
0.8000 , 271.3755
0.8200 , 272.6943
0.8400 , 273.7840
0.8600 , 274.5226
0.8800 , 275.4730
0.9000 , 277.2596
0.9200 , 279.6400
0.9400 , 282.2139
0.9600 , 284.7418
0.9800 , 286.0867
0.0730 , 199.8621
0.0490 , 195.0345
0.0251 , 186.3448
0.0103 , 181.5172
0.0000 , 168.9655
0.0000 , 152.5517
0.0000 , 124.5517
