Z500,
X,Y
0.0800 , 207.4652
0.1000 , 211.6384
0.1200 , 213.3589
0.1400 , 216.8393
0.1600 , 220.9142
0.1800 , 224.2647
0.2000 , 227.2244
0.2200 , 230.2319
0.2400 , 233.0440
0.2600 , 235.4136
0.2800 , 237.4520
0.3000 , 239.3896
0.3200 , 241.6776
0.3400 , 244.5097
0.3600 , 247.4344
0.3800 , 250.0386
0.4000 , 252.2422
0.4200 , 254.0834
0.4400 , 255.6866
0.4600 , 257.2741
0.4800 , 259.3149
0.5000 , 262.0266
0.5200 , 265.0164
0.5400 , 267.8383
0.5600 , 270.1454
0.5800 , 271.9064
0.6000 , 273.7138
0.6200 , 275.9725
0.6400 , 278.4870
0.6600 , 280.9849
0.6800 , 283.1744
0.7000 , 285.0153
0.7200 , 286.9726
0.7400 , 289.3356
0.7600 , 291.9202
0.7800 , 294.5753
0.8000 , 297.3705
0.8200 , 300.3161
0.8400 , 303.0393
0.8600 , 305.2841
0.8800 , 307.2525
0.9000 , 309.1419
0.9200 , 311.1993
0.9400 , 313.6090
0.9600 , 316.2938
0.9800 , 318.4235
0.0536 , 201.8564
0.0109 , 183.2941
0.0000 , 160.2241
0.0000 , 116.6344
