ZL4,
X,Y
0.0800 , 269.3181
0.1000 , 275.2129
0.1200 , 277.3237
0.1400 , 281.0179
0.1600 , 285.2045
0.1800 , 288.4594
0.2000 , 291.2588
0.2200 , 294.1438
0.2400 , 297.1327
0.2600 , 300.1331
0.2800 , 303.0194
0.3000 , 305.7373
0.3200 , 308.4405
0.3400 , 311.2357
0.3600 , 314.0340
0.3800 , 316.7217
0.4000 , 319.1815
0.4200 , 321.4110
0.4400 , 323.6526
0.4600 , 326.0841
0.4800 , 328.5958
0.5000 , 331.0799
0.5200 , 333.5709
0.5400 , 336.0833
0.5600 , 338.5071
0.5800 , 340.7794
0.6000 , 342.9910
0.6200 , 345.2360
0.6400 , 347.5531
0.6600 , 349.9332
0.6800 , 352.2932
0.7000 , 354.6122
0.7200 , 357.0480
0.7400 , 359.6454
0.7600 , 362.1341
0.7800 , 364.3339
0.8000 , 366.4319
0.8200 , 368.6007
0.8400 , 370.8211
0.8600 , 373.0699
0.8800 , 375.3611
0.9000 , 377.7011
0.9200 , 380.0780
0.9400 , 382.4286
0.9600 , 384.7657
0.9800 , 386.3015
0.0604 , 265.5172
0.0468 , 259.7241
0.0114 , 234.6207
0.0023 , 218.2069
-0.0011 , 153.5172
