ETP-200-ACF,
X,Y
0.9944 , 260.1955
0.9761 , 259.7765
0.9428 , 260.1955
0.9061 , 260.1955
0.8729 , 260.1955
0.8373 , 260.6145
0.8006 , 260.6145
0.7662 , 260.6145
0.7329 , 261.0335
0.6974 , 260.6145
0.6618 , 261.0335
0.6263 , 261.0335
0.5919 , 261.0335
0.5575 , 261.4525
0.5013 , 261.4525
0.4680 , 261.0335
0.4325 , 261.0335
0.3981 , 261.0335
0.3625 , 260.6145
0.3235 , 260.1955
0.2926 , 260.6145
0.2547 , 259.7765
0.2238 , 259.7765
0.2066 , 259.3575
0.1917 , 258.5196
0.1745 , 258.1006
0.1607 , 257.6816
0.1263 , 256.8436
0.0908 , 255.5866
0.0483 , 251.8156
0.0254 , 247.2067
0.0014 , 227.5140
0.0004 , 193.5754
-0.0018 , 178.0726
-0.0006 , 163.8268
