ETP-250-ACF,
X,Y
0.9920 , 296.6480
0.9748 , 296.2291
0.9415 , 295.8101
0.9071 , 296.2291
0.8727 , 296.2291
0.8372 , 296.2291
0.8016 , 296.2291
0.7672 , 296.6480
0.7328 , 297.0670
0.6973 , 296.2291
0.6617 , 296.6480
0.6284 , 296.6480
0.5918 , 296.6480
0.5367 , 297.0670
0.5023 , 296.6480
0.4668 , 297.0670
0.4323 , 297.0670
0.3991 , 297.0670
0.3635 , 296.6480
0.3234 , 296.2291
0.2913 , 295.8101
0.2535 , 295.3911
0.2248 , 294.5531
0.2087 , 294.5531
0.1915 , 294.1341
0.1743 , 293.7151
0.1606 , 293.7151
0.1239 , 291.6201
0.0918 , 289.9441
0.0494 , 285.7542
0.0287 , 281.1453
0.0036 , 261.0335
0.0003 , 222.4860
-0.0007 , 180.1676
0.0005 , 165.0838
-0.0017 , 150.4190
-0.0005 , 134.9162
0.0007 , 119.8324
-0.0016 , 106.0056
0.0008 , 89.6648
-0.0002 , 43.9944
