ETP-ACF,
X,Y
0.9912 , 212.4302
0.9751 , 212.0112
0.9407 , 212.0112
0.9052 , 211.5922
0.8719 , 211.5922
0.8363 , 212.4302
0.8008 , 212.4302
0.7675 , 212.4302
0.7320 , 212.4302
0.6976 , 212.8492
0.6632 , 212.8492
0.6265 , 212.8492
0.5921 , 212.8492
0.5565 , 213.2682
0.5233 , 213.2682
0.4877 , 213.6872
0.4338 , 213.2682
0.3994 , 213.2682
0.3627 , 213.2682
0.3283 , 213.2682
0.2916 , 213.2682
0.2595 , 212.8492
0.2240 , 212.4302
0.2010 , 212.0112
0.1884 , 211.5922
0.1735 , 211.1732
0.1597 , 211.1732
0.1253 , 210.3352
0.0932 , 209.4972
0.0543 , 206.9832
0.0050 , 191.4804
-0.0006 , 157.1229
-0.0005 , 141.6201
0.0007 , 127.3743
-0.0003 , 73.7430
-0.0001 , 36.0335
