ETP-ACF,
X,Y
0.0800 , 208.6819
0.1000 , 209.3101
0.1200 , 210.3556
0.1400 , 210.9838
0.1600 , 211.4748
0.1800 , 211.7212
0.2000 , 212.0979
0.2200 , 212.4634
0.2400 , 212.6935
0.2600 , 212.8026
0.2800 , 212.9024
0.3000 , 213.0787
0.3200 , 213.2565
0.3400 , 213.2951
0.3600 , 213.3483
0.3800 , 213.5114
0.4000 , 213.6639
0.4200 , 213.6908
0.4400 , 213.7363
0.4600 , 213.7176
0.4800 , 213.6994
0.5000 , 213.5818
0.5200 , 213.4117
0.5400 , 213.3911
0.5600 , 213.3576
0.5800 , 213.3553
0.6000 , 213.2561
0.6200 , 213.0371
0.6400 , 212.9634
0.6600 , 212.9662
0.6800 , 212.9681
0.7000 , 212.9014
0.7200 , 212.6861
0.7400 , 212.6143
0.7600 , 212.6132
0.7800 , 212.4774
0.8000 , 212.2651
0.8200 , 212.2266
0.8400 , 212.1899
0.8600 , 212.1763
0.8800 , 212.0859
0.9000 , 211.8688
0.9200 , 211.8094
0.9400 , 211.8130
0.9600 , 212.0254
0.9800 , 212.2911
0.0531 , 206.5642
0.0061 , 191.4804
-0.0006 , 156.7039
-0.0005 , 142.4581
0.0007 , 127.3743
0.0009 , 74.1620
-0.0013 , 36.0335
