R3-400,
X,Y
0.2600 , 377.1668
0.2800 , 386.6388
0.3000 , 396.1327
0.3200 , 404.2334
0.3400 , 410.6790
0.3600 , 416.2801
0.3800 , 421.9031
0.4000 , 427.8556
0.4200 , 434.1181
0.4400 , 440.2519
0.4600 , 446.0044
0.4800 , 451.5384
0.5000 , 457.0512
0.5200 , 462.2944
0.5400 , 467.4088
0.5600 , 472.6456
0.5800 , 477.9374
0.6000 , 482.9340
0.6200 , 487.8212
0.6400 , 493.0823
0.6600 , 498.2634
0.6800 , 503.2931
0.7000 , 508.3846
0.7200 , 512.8335
0.7400 , 517.4070
0.7600 , 521.9272
0.7800 , 525.9749
0.8000 , 529.9677
0.8200 , 533.9313
0.8400 , 537.6131
0.8600 , 540.9967
0.8800 , 544.7661
0.9000 , 549.1395
0.9200 , 553.6731
0.9400 , 558.0964
0.9600 , 562.0828
0.9769 , 563.9242
0.9940 , 569.1763
0.1739 , 344.4808
0.2452 , 373.9181
0.2241 , 365.5082
0.2000 , 353.9394
0.1477 , 330.8061
0.1256 , 320.2892
0.0975 , 303.4546
0.0724 , 289.7788
0.0442 , 263.4580
0.0241 , 240.2908
0.0121 , 222.3852
0.0080 , 206.5791
0.0050 , 170.7457
0.0020 , 114.8859
