AC-600,
X,Y
0.1600 , 823.8152
0.1800 , 840.6825
0.2000 , 854.5128
0.2200 , 866.9292
0.2400 , 878.8200
0.2600 , 890.1789
0.2800 , 900.5150
0.3000 , 909.2265
0.3200 , 915.5927
0.3400 , 919.8971
0.3600 , 923.3831
0.3800 , 926.8048
0.4000 , 930.4900
0.4200 , 934.8264
0.4400 , 939.1955
0.4600 , 943.2751
0.4800 , 947.1668
0.5000 , 950.6784
0.5200 , 953.5858
0.5400 , 955.8166
0.5600 , 957.5993
0.5800 , 959.4127
0.6000 , 961.6425
0.6200 , 964.2473
0.6400 , 966.7948
0.6600 , 969.1355
0.6800 , 971.4603
0.7000 , 973.8860
0.7200 , 976.4149
0.7400 , 979.0795
0.7600 , 981.8142
0.7800 , 984.5881
0.8000 , 987.3480
0.8200 , 989.9649
0.8400 , 992.1703
0.8600 , 993.9663
0.8800 , 995.6051
0.9000 , 997.2134
0.9200 , 998.9040
0.9400 , 1000.7726
0.9600 , 1002.7381
0.9800 , 1004.2482
0.1412 , 806.7885
0.1247 , 794.2559
0.1056 , 769.1906
0.0814 , 747.2585
0.0763 , 728.4595
0.0560 , 672.0627
0.0509 , 632.8982
0.0369 , 585.9008
0.0305 , 543.6031
0.0242 , 501.3055
0.0178 , 459.0078
0.0140 , 412.0104
0.0115 , 368.1462
0.0025 , 327.4151
0.0025 , 292.9504
0.0000 , 241.2533
0.0000 , 216.1880
