AC-r-600,
X,Y
0.9924 , 616.0338
0.9496 , 611.8143
0.8726 , 610.4079
0.8260 , 607.5949
0.7730 , 604.7820
0.7226 , 599.1561
0.6671 , 596.3432
0.6091 , 590.7173
0.5511 , 585.0914
0.5006 , 580.8720
0.4515 , 578.0591
0.4023 , 572.4332
0.3468 , 569.6203
0.2989 , 566.8073
0.2749 , 563.9944
0.2497 , 562.5879
0.2245 , 556.9620
0.2131 , 551.3361
0.1929 , 545.7103
0.1740 , 538.6779
0.1576 , 530.2391
0.1311 , 517.5809
0.1047 , 499.2968
0.0996 , 489.4515
0.0832 , 462.7286
0.0769 , 455.6962
0.0555 , 428.9733
0.0492 , 417.7215
0.0353 , 392.4051
0.0265 , 382.5598
0.0189 , 362.8692
0.0113 , 348.8045
0.0088 , 319.2686
0.0063 , 296.7651
0.0038 , 270.0422
0.0013 , 203.9381
0.0013 , 125.1758
0.0013 , 82.9817
