f3,
X,Y
0.0101 , 340.4729
0.0063 , 323.7830
0.0047 , 305.4242
0.0298 , 398.8873
0.0177 , 370.5146
0.0412 , 422.2531
0.0495 , 437.2740
0.0761 , 472.3227
0.1011 , 500.6954
0.1519 , 549.0960
0.1973 , 584.1446
0.2026 , 587.4826
0.2496 , 617.5243
0.2997 , 645.8971
0.3512 , 672.6008
0.4004 , 694.2976
0.4512 , 717.6634
0.5012 , 741.0292
0.5512 , 764.3950
0.6013 , 787.7608
0.6498 , 812.7955
0.6998 , 841.1683
0.7513 , 879.5549
0.8013 , 921.2796
0.8506 , 976.3561
0.8999 , 1034.7705
0.9522 , 1089.8470
0.9757 , 1109.8748
0.9954 , 1139.9166
