12min,
X,Y
0.0600 , 194.0477
0.0800 , 198.5085
0.1000 , 202.2306
0.1200 , 205.1313
0.1400 , 207.6636
0.1600 , 209.7527
0.1800 , 211.3664
0.2000 , 212.5452
0.2200 , 213.9940
0.2400 , 215.2592
0.2600 , 215.6644
0.2800 , 216.4899
0.3000 , 217.5094
0.3200 , 218.0960
0.3400 , 218.8956
0.3600 , 219.4321
0.3800 , 220.1148
0.4000 , 220.7093
0.4200 , 221.1435
0.4400 , 222.1957
0.4600 , 222.9290
0.4800 , 222.9891
0.5000 , 223.2256
0.5200 , 223.8217
0.5400 , 224.2380
0.5600 , 224.5672
0.5800 , 224.9876
0.6000 , 225.5627
0.6200 , 226.0430
0.6400 , 226.4631
0.6600 , 226.8228
0.6800 , 227.2562
0.7000 , 227.7077
0.7200 , 228.2015
0.7400 , 228.8720
0.7600 , 229.4319
0.7800 , 229.8639
0.8000 , 230.4595
0.8200 , 231.1424
0.8400 , 231.9048
0.8600 , 232.7802
0.8800 , 233.7015
0.9000 , 234.8786
0.9200 , 236.3840
0.9400 , 237.9112
0.9600 , 239.9919
0.9800 , 242.9847
0.0115 , 169.1843
0.0323 , 184.4713
