700W,
X,Y
0.0084 , 241.2215
0.0303 , 261.0978
0.0574 , 272.6343
0.0814 , 278.0785
0.0992 , 282.2419
0.1200 , 285.4422
0.1409 , 287.6804
0.1597 , 289.5986
0.1806 , 291.1954
0.1994 , 292.4722
0.2463 , 295.6641
0.2996 , 297.5712
0.3319 , 299.4850
0.3486 , 299.8004
0.3987 , 300.7464
0.4499 , 302.6542
0.4990 , 304.2420
0.5480 , 304.8676
0.5992 , 306.4547
0.6461 , 307.4018
0.6983 , 308.6678
0.7390 , 309.6169
0.7683 , 310.2489
0.7985 , 311.2013
0.8205 , 311.8357
0.8382 , 312.4714
0.8591 , 313.1061
0.8758 , 314.0628
0.8894 , 315.0206
0.9029 , 315.6576
0.9165 , 316.6154
0.9238 , 316.9337
0.9342 , 317.5718
0.9436 , 317.8895
0.9541 , 318.5275
0.9635 , 320.4487
0.9718 , 322.0495
0.9802 , 323.3296
0.9854 , 325.5729
