12min,
X,Y
0.0125 , 169.1843
0.0302 , 184.4713
0.0625 , 194.7734
0.0802 , 198.4290
0.1010 , 202.4169
0.1240 , 205.0755
0.1458 , 207.7341
0.1625 , 209.3958
0.1833 , 211.0574
0.2010 , 212.3867
0.2490 , 215.3776
0.3000 , 218.0363
0.3521 , 219.3656
0.3979 , 220.3625
0.4479 , 222.6888
0.4979 , 223.6858
0.5490 , 224.6828
0.5979 , 225.6798
0.6490 , 227.0091
0.6979 , 228.0060
0.7375 , 228.3384
0.7688 , 229.3353
0.7979 , 230.3323
0.8198 , 230.9970
0.8385 , 231.3293
0.8594 , 232.3263
0.8740 , 233.3233
0.8896 , 233.9879
0.9031 , 234.9849
0.9146 , 235.6495
0.9250 , 236.3142
0.9375 , 236.9789
0.9490 , 238.3082
0.9583 , 239.3051
0.9677 , 239.9698
0.9760 , 241.6314
0.9833 , 243.2931
0.9885 , 244.6224
