6min,
X,Y
0.0115 , 243.9577
0.0323 , 262.9003
0.0615 , 274.5317
0.0813 , 279.8489
0.1000 , 284.1692
0.1229 , 287.1601
0.1448 , 289.8187
0.1635 , 291.8127
0.1833 , 293.1420
0.2010 , 294.4713
0.2479 , 297.1299
0.3010 , 299.7885
0.3333 , 300.7855
0.3500 , 301.7825
0.3969 , 302.7795
0.4510 , 304.4411
0.5021 , 306.4350
0.5479 , 307.4320
0.5990 , 307.7644
0.6479 , 309.0937
0.6979 , 310.0906
0.7365 , 311.4199
0.7688 , 312.0846
0.7979 , 313.4139
0.8198 , 313.7462
0.8396 , 315.0755
0.8594 , 315.4079
0.8740 , 316.0725
0.8875 , 317.0695
0.9031 , 317.7341
0.9135 , 318.7311
0.9250 , 319.3958
0.9344 , 320.0604
0.9417 , 320.7251
0.9510 , 321.3897
0.9604 , 322.0544
0.9688 , 323.3837
0.9771 , 324.7130
0.9854 , 326.7069
