D9065013,
X,Y
0.0032 , 9.1658
0.0173 , 13.6995
0.0302 , 14.5470
0.0382 , 15.0953
0.0442 , 15.3945
0.0552 , 15.9430
0.0651 , 16.3918
0.0781 , 16.8906
0.0861 , 17.0902
0.0941 , 17.3397
0.1020 , 17.5393
0.1080 , 17.8883
0.1170 , 18.0880
0.1250 , 18.2877
0.1329 , 18.4375
0.1419 , 18.7368
0.1509 , 18.9365
0.1559 , 19.1360
0.1638 , 19.2859
0.1728 , 19.4856
0.1828 , 19.6355
0.1897 , 19.7853
0.1977 , 19.8853
0.2117 , 20.1351
0.2555 , 20.8346
0.2834 , 21.2844
0.3173 , 21.6347
0.3621 , 22.0853
0.4020 , 22.3861
0.4428 , 22.4380
0.4796 , 22.4398
0.5205 , 22.6909
0.5603 , 22.8424
0.5892 , 22.7442
0.6291 , 22.9454
0.6709 , 22.9973
0.6998 , 23.0984
0.7436 , 23.1504
0.7825 , 23.3017
0.8273 , 23.4036
0.8562 , 23.4050
0.9040 , 23.6565
0.9468 , 24.1568
0.9678 , 27.2960
