D9075013,
X,Y
0.0241 , 8.2204
0.0351 , 8.6194
0.0411 , 8.9684
0.0490 , 9.1681
0.0590 , 9.3678
0.0680 , 9.5675
0.0749 , 9.7671
0.0839 , 9.9668
0.0949 , 10.1666
0.1019 , 10.3662
0.1108 , 10.6157
0.1198 , 10.7158
0.1298 , 11.0152
0.1377 , 11.0654
0.1477 , 11.2651
0.1557 , 11.4150
0.1646 , 11.5151
0.1726 , 11.6151
0.1816 , 11.8148
0.1905 , 12.0145
0.1975 , 12.1643
0.2105 , 12.3642
0.2922 , 13.6136
0.3310 , 14.2631
0.3679 , 14.6634
0.4067 , 15.0638
0.4476 , 15.5142
0.4855 , 15.8150
0.5203 , 16.1156
0.5572 , 16.3665
0.5970 , 16.5677
0.6319 , 16.6691
0.6697 , 16.8204
0.7086 , 16.8722
0.7415 , 16.9236
0.7793 , 17.0749
0.8182 , 17.0769
0.8550 , 17.1285
0.8879 , 17.1800
0.9247 , 17.3811
0.9596 , 17.5322
0.9825 , 18.5296
