H-AC,
X,Y
0.9910 , 260.2410
0.9767 , 255.4217
0.9481 , 252.2088
0.9075 , 248.1928
0.8622 , 241.7671
0.8157 , 238.5542
0.7657 , 235.3414
0.7180 , 233.7349
0.6643 , 229.7189
0.6179 , 228.9157
0.5678 , 225.7028
0.5177 , 223.2932
0.4641 , 219.2771
0.4128 , 215.2610
0.3520 , 211.2450
0.3103 , 208.0321
0.2865 , 206.4257
0.2567 , 203.2129
0.2328 , 200.0000
0.2042 , 196.7871
0.1792 , 192.7711
0.1506 , 189.5582
0.1243 , 186.3454
0.1005 , 181.5261
0.0754 , 172.6908
0.0528 , 164.6586
0.0385 , 159.8394
0.0265 , 152.6104
