S-AC,
X,Y
0.0200 , 134.2319
0.0400 , 146.0173
0.0600 , 155.8077
0.0800 , 164.3632
0.1000 , 170.0705
0.1200 , 174.3677
0.1400 , 178.3503
0.1600 , 181.7555
0.1800 , 184.5471
0.2000 , 186.8790
0.2200 , 188.9385
0.2400 , 191.0107
0.2600 , 193.1259
0.2800 , 195.2140
0.3000 , 197.3688
0.3200 , 199.4282
0.3400 , 201.4071
0.3600 , 203.3221
0.3800 , 205.0758
0.4000 , 206.5810
0.4200 , 207.9358
0.4400 , 209.3576
0.4600 , 210.9526
0.4800 , 212.4399
0.5000 , 213.6024
0.5200 , 214.1436
0.5400 , 214.4077
0.5600 , 214.7014
0.5800 , 215.5384
0.6000 , 216.7989
0.6200 , 218.1490
0.6400 , 219.6928
0.6600 , 221.5721
0.6800 , 223.3018
0.7000 , 224.6762
0.7200 , 225.5029
0.7400 , 225.8182
0.7600 , 226.1538
0.7800 , 226.9961
0.8000 , 228.2368
0.8200 , 229.5952
0.8400 , 230.9986
0.8600 , 232.3994
0.8800 , 233.9018
0.9000 , 235.7185
0.9200 , 237.8814
0.9400 , 240.2149
0.9600 , 242.8296
0.9755 , 245.7831
0.9957 , 249.7992
